total,bed,bath,square,lot,price,type,built,garage,address,city,state,zip,elementary school,middle school,high school,Collateral,CoreLogic,Quantarium
"1,170,000",3,2,1080,5000,"1,083",Single Family Home,1955,2 Cars,1748 Royal Ave,San Mateo,CA,94401,5,9,2,$1299000 $850872 $1133488,$1280400 $863000 $1285600,$1149575 $906351 $1185271
"950,000",2,2,1050,5000,905,Single Family Home,1947,1 Car,105 N Quebec St,San Mateo,CA,94401,7,7,2,$1046000 $742296 $988848,$1101500 $762600 $1050100,$968966 $746273 $963946
"1,400,000",3,2,1370,5100,"1,022",Single Family Home,1951,2 Cars,1115 E Poplar Ave,San Mateo,CA,94401,4,4,7,$1459000 $1200021 $1598606,$1242000 $856600 $1205400,$1137105 $1002069 $1241034
"1,149,000",2,1,1040,5100,"1,105",Single Family Home,1948,1 Car,1411 Mefferd Ave,San Mateo,CA,94401,7,2,7,$995000 $1117893 $1078657,$1148600 $1017000 $1000700,$1061232 $1076297 $979690
"989,000",2,2,1270,5200,779,Single Family Home,1947,1 Car,211 S Norfolk St,San Mateo,CA,94401,7,7,2,$1031000 $703974 $937798,$1161500 $714500 $1141300,$982264 $859588 $1047401
"1,350,000",4,2,1800,5250,750,Single Family Home,1947,1 Car,1310 Monte Diablo Ave,San Mateo,CA,94401,7,2,7,$1275000 $975061 $1298926,$1417200 $966000 $1469000,$1427814 $901203 $1252406
"1,218,000",3,2,1240,5250,982,Single Family Home,1954,2 Cars,1625 S Norfolk St,San Mateo,CA,94401,5,9,4,$1132000 $812551 $1082439,$1271300 $881800 $1247400,$1236701 $915484 $1133801
"1,300,000",3,2,1601,5500,812,Single Family Home,1954,2 Cars,1524 Lodi Ave,San Mateo,CA,94401,5,9,4,$1144000 $771391 $1027608,$1288800 $850200 $1229900,$1189076 $1010387 $1177971
"2,698,000",7,4,2839,5850,,Single Family Home,1925,3 Cars,406 Villa Ter,San Mateo,CA,94401,6,3,7,$1640000 $1180860 $1573081,$2646000 $1062800 $1477900,$2746523 $1297263 $1606623
"1,250,000",3,2,1460,5850,856,Single Family Home,1910,,410 Cypress Ave,San Mateo,CA,94401,4,4,7,$1237000 $911193 $1213844,$1263600 $866000 $1124500,$1389988 $959861 $1188761
"1,495,000",3,2,1610,6750,929,Single Family Home,1947,2 Cars,1624 Monte Diablo Ave,San Mateo,CA,94401,7,2,7,$1285000 $940288 $1252604,$1492300 $936000 $1288000,$1288184 $866802 $1280057
"1,650,000",2,1.5,1430,6950,"1,154",Single Family Home,1924,1 Car,726 Prospect Row,San Mateo,CA,94401,6,7,3,$1913000 $1162409 $1548502,$1642100 $1094300 $1685600,$1398264 $1150884 $1425337
"1,598,000",4,3,2528,7903,632,Townhome,2007,1 Car,528 N Claremont St,San Mateo,CA,94401,6,3,7,$1159000 $1955353 $1999439,$1754000 - $2821000,$1723827 $2385090 $2285911
"1,249,000",2,2,1530,18730,816,Condo,2003,1 Car,318 S Grant St Unit 1C,San Mateo,CA,94401,6,7,3,$1350000 $898419 $1196827,,$1070812 $672420 $832773
"1,350,000",2,2,1731,,780,Condo,1983,2 Cars,10 9th Ave Apt 301,San Mateo,CA,94401,9,6,3,$1334000 $940998 $1253549,,$1328651 $1080884 $981978
"1,198,000",2,1,970,4000,"1,235",Single Family Home,1940,1 Car,842 W Grant Pl,San Mateo,CA,94402,9,6,3,$1134000 $884428 $1082861,$1320400 $984300 $1413500,$1376590 $1264501 $1399984
